clientid;income;age;loan;default
1;661.559.250.950.813;59.017.015.066.929.200;810.653.213.128.514;0
2;344.151.539.658.196;4.811.715.310.486.020;6.564.745.017.677.370;0
3;573.171.700.630.337;6.310.804.949.188.590;8.020.953.296.386.460;0
4;42.709.534.200.839.700;45.751.972.352.154.500;6.103.642.260.140.690;0
5;6.695.268.884.534.010;185.843.359.269.202;877.009.923.520.439;1
6;24.904.064.140.282.500;574.716.071.025.468;15.498.598.437.827.100;0
7;484.303.596.126.847;26.809.132.419.060.800;572.258.198.121.271;0
8;245.001.419.843.175;328.975.483.207.032;297.100.330.971.188;1
9;406.548.925.372.772;55.496.852.539.479.700;47.558.252.798.016;0
10;25.075.872.770.976.200;397.763.780.555.688;140.923.037.111.453;0
11;641.314.153.722.487;25.679.575.353.860.800;43.510.289.707.232.500;0
12;59.436.847.122.851.700;604.719.358.547.591;925.424.453.803.174;0
13;610.503.460.792.825;263.550.438.545.644;589.326.465.933.928;0
14;272.679.954.580.963;61.576.775.823.254.000;47.597.875.810.455;0
15;63.061.960.174.236.300;392.015.528.911.725;185.036.937.703.064;0
16;505.017.266.888.171;-28.218.361.321.371.000;39.772.874.324.738.300;0
17;435.486.547.113.396;395.745.303.500.444;39.355.444.533.423.400;0
18;433.781.751.943.752;6.084.831.793.932.230;32.777.375.531.263;0
19;20.542.365.072.760.700;616.905.707.078.986;31.574.422.899.706.600;0
20;588.873.575.488.105;26.076.093.018.055;496.551.606.626.419;0
21;230.007.840.017.788;31.761.354.170.739.600;114.811.805.715.996;0
22;321.976.207.010.448;-52.423.279.919.661.500;4.244.057.136.123.400;0
23;233.293.194.137.514;485.769.745.339.639;222.622.298.697.307;0
24;278.458.008.938.469;519.706.241.027.452;495.992.122.589.578;0
25;653.019.840.293.564;4.884.092.176.985;546.526.788.565.462;0
26;474.516.301.229.596;27.031.741.308.979.600;536.128.271.628.474;0
27;63.287.038.907.874.400;-364.969.755.136.408;959.528.628.892.989;0
28;457.274.598.698.132;5.583.992.184.512.320;637.682.294.883.561;0
29;59.417.805.406.265;;208.262.593.812.344;0
30;588.428.913.080.133;54.510.947.563.685.500;108.711.867.897.838;0
31;485.288.527.957.164;;615.578.467.025.544;0
32;235.263.025.551.103;;28.620.101.387.461;0
33;672.529.006.074.183;381.319.074.640.051;422.130.315.714.475;0
34;588.868.512.935.005;386.615.042.379.126;7.271.552.032.470.570;0
35;575.849.737.902.172;36.672.020.919.621;17.284.237.547.148;0
36;262.899.723.066.948;20.666.778.734.419.500;341.146.965.986.397;0
37;259.523.814.707.063;58.185.017.302.632.200;21.092.007.717.368.600;0
38;32.464.091.880.247;502.250.059.167.854;432.670.507.344.396;0
